kana,hina,romaji,english,explanation
ガタタ,がたた,gatata,*slam* *clattering*,Loud clattering sound.  Louder and more powerful than *gata*.
ガツッ,がつっ,gatsu,*hit* *thump* *crunch*,"Hitting something heavy, hitting something hard accidentally."
ガツ,がつ,gatsu,*crunch*,
ガツガツ,がつがつ,gatsu gatsu,(1) *gobble* *hungrily**munchity munchity*;(2) *stab stab*,"(1) SFX for rapid eating, such as the gobbling of food;  See also *hau hau* and *paku*;(2) Stabbing with a sharp heavy object."
ガツン,がつん,gatsun,*collide head-on* *hits hard*,Impact of something heavy hitting something hard accidentally.
ガヤ,がや,gaya,*chatter**white noise**yap yap**blah blah*,Background chatter on a soundtrack.See also *gaya gaya* (ガヤガヤ).
ガヤガヤ,がやがや,gaya gaya,*chatter chatter**wai wai**noisy*,SFX for crowd of people talking.See also *gaya* (ガヤ).
カ,か,ka,(1) *light*;(2) *clicking heels* *footsteps*,(1) See also *pa* and *po*.
カッ,かっ,ka,(1) *light*;(2) *click* *footsteps* *tmp* *tap* *step*;(3) *bang*;(4) *rage*;(5) *enraged*;(6) *excited* *infatuated* *flaring up*;(7) *scritch* *scratch* *stroke*;(8) *slice* *cut*;(9) *click* *clack*,"(1) See also *pa* and *po*;(2) Heels going click;(3) With a bang;(4) Flashing ones eyes open in rage;(5) Be enraged, to burst into anger;(7) Like the sound of a pen on paper;(9) SFX for a metallic or mechanical sound"
カーッ,かーっ,ka-,(1) *explodes*;(2) *hot* *spicy*;(3) *blush*,(1) To completely blow one's top;(2) Hot flavor.
カー,かー,ka-,(1) *light*;(2) *blush*,"(1) See also *pa* and *po*;(2) Face turning red, blushing; see also *po* and *kaa*."
カーッ,かーっ,ka-,*blush* *flustered*,When you are extremely embarrassed and you feel yourself going red.
カーン,かーん,ka-n,*clang!*,Clanging bells.
カーンカーンカーン,かーんかーんかーん,ka-n ka-n ka-n,*bang bang bang*,SFX for things being hammered in.
カアア,かああ,kaa,(1) *blush**embarrassed**flush**flustered*;(2) *caw*;(3) *bang* *boom*;(4) *aack*,"(1) SFX for embarrassment.  See also *ka-*;(2) SFX for an animal call;(3) SFX for an explosion, see also *dokka-n*"
カアッ,かあっ,kaa,*blush* *flush*,
カバー,かばー,kaba-,*sits up* *up*,
カッチンカッチン,かっちんかっちん,kacchin kacchin,(1) *tick...tock*;(2) *stiff*;(3) *frozen*,(1) Slow tick-tock.
カッチリ,かっちり,kacchiri,*well-built* *tight-fitting*,
カチャッ,かちゃっ,kacha,*clicking*,
カチャ,かちゃ,kacha,(1) *click*;(2) *click* *ka-chak* *ker-chak*;(3) *clink*;(4) *big*;(5) *clang*;(6) *clank*,"(1) The click of something opening, such as a latch, a door, or even a belt;(2) The click of a telephone, like *ka-chak* or *ker-chak*;(4) Something being too big."
カチャカチャ,かちゃかちゃ,kacha kacha,*click click*,
カチャン,かちゃん,kachan,(1) *ker-chak* *clink*;(2) *clatter*,"(1) SFX for the clinking of glass-like or ceramic-like material;(2) Like when getting up from a chair, or pushing back a chair"
カチャリ,かちゃり,kachari,*opens* *turns*,SFX for opening doorknob.
カチッ,かちっ,kachi,(1) *click* *snap*;(2) *clack*,"(1) For instance, to snap something on, or to fasten something on;(2) SFX for metallic clinking sound"
カチカチ,かちかち,kachi kachi,(1) *click click*;(2) *tick tick*;(3) *frozen*;(4) *clickety clack**clack clack*,"(2) Ticking of a clock;(3) State of being totally frozen, freezing until hardened."
カチコーン,かちこーん,kachi ko-n,*freezes* *freeze* *frozen* *shock*,
カチコチ,かちこち,kachi kochi,*rigid* *freeze up* *frozen* *frozen stiff* *nervous*,See also *kachi kachi*.
カチーン,かちーん,kachi-n,(1) *pissed off* *eh?*;(2) *clang*,"(1) SFX when you get pissed off in the sense that the particular word someone says ""triggers your anger"";(2) for money falling"
カチン,かちん,kachin,(1) *frozen*;(2) *clinking* *cracking*;(3) *kapwing*,(3) Bouncing bullet.
カチンッ,かちんっ,kachin,*clink* *ching**ka-ching*,SFX for a metallic or machinery sound.
カヒー,かひー,kahi-,*tee hee* *guh heh* *heh heh* *he he*,"The laugh of a drunken, semi-conscious character in a stupor."
カヒーグヘー,かひーぐへー,kahi- guhe-,*tee hee* *guh heh* *heh heh* *he he*,"The laugh of a drunken, semi-conscious character in a stupor."
カジ,かじ,kaji,*bite* *gnaw*,"Sink your little fangs into.  See also *agi*, *agu*, and *kari*."
カジカジ,かじかじ,kaji kaji,*bite*,
カジカク,かじかく,kaji kaku,*bite* *gnaw*,
カカカ,かかか,kakaka,*bwahahaha!*,Evil laughter.See also *kakaka* (カッカッカッ).
カキカキ,かきかき,kaki kaki,*scribble scribble**write write**scritch scratch*,"SFX for writing.  Literally comes from the verb ""to write"" or 「書く」."
カキーン,かきーん,kaki-n,*strike* *pow*,SFX for hitting a ball with a baseball bat.
カッカッ,かっかっ,kakka,(1) *trotting* *trot* *tromp*;(2) *scritch* *scratch* *stroke*;(3) *clak clak* *clack clack*;(4) *step step*,"(1) To walk/march excitedly or enthusiastically towards something or someone;(2) Like the sound of a pen on paper;(3) The sound of light stomping, or just the clicking of shoes against a hard floor"
カッカ,かっか,kakka,(1) *excited* *passionate*;(2) *fuming* *angry*;(3) *flustered*;(4) *burning*;(5) *spicy* *hot*;(6) *red-hot* *brightly*,"(1) Extremely excited, having a fit of passion;(3) Flustered from either shyness or anger;(4) A burning sensation;(5) Spicy flavor;"
カッカッカッ,かっかっかっ,kakkakka,(1) *clack clack clack*;(2) *bwahahaha*,"(1) Often used for high-heels SFX and when you write with chalk on a blackboard;(2) Evil laughter, like the cliche villain's laugh."
カッキーン,かっきーん,kakki-n,*frozen solid* *frozen* *freeze*,"SFX for shock, awkward moment, or an arresting moment of drama."
カッキリ,かっきり,kakkiri,*exact* *precise*,"Precise quantity, precise moment."
カコーン,かこーん,kako-n,*clang* *clu-nk*,
カク,かく,kaku,(1) *lose balance*;(2) *wobble*,See also *kaku kaku* (カクカク).
カクカク,かくかく,kaku kaku,*wobble wobble**teeter teeter*,See also *kaku* (カク).
カクン,かくん,kakun,*losing balance*; losing strength from astonishment,
カン,かん,kan,(1) *click* *footsteps*;(2) *revelation*;(3) *clink* *clang*,(1) Heels going click;(2) Usually horrible revelation.
カンカン,かんかん,kan kan,(1) *totally pissed off*;(2) *clang*,(1) State of being very mad/angry;(2) Clang of bells.
カンコン,かんこん,kankon,*ding dong*,As of a school bell.  See also *pin pon*.
カパン,かぱん,kapan,(1) *rattle*;(2) *open*,(2) something opening
カポカポ,かぽかぽ,kapo kapo,*trotting*,
カポリ,かぽり,kapori,*put on* *puts on* *fwip* *fwp*,"SFX for putting something on, like a hat or a wig."
カッポカッポ,かっぽかっぽ,kappo kappo,*trotting*,
カラッ,からっ,kara,(1) *clear* *pleasant weather*;(2) *completely changed**complete transformation*;(3) *slide*,(3) Like sliding a door open.
カラ,から,kara,(1) *empty*;(2) *dry*;(3) *opens**ku-chack*;(4) *tap*,(3) SFX for opening door or cabinet door.
カラカラ,からから,kara kara,(1) *empty*;(2) *dry* *dried up*;(3) *masculine laugh*;(4) *clattering*;(5) *thirsty*;(6) *sweat sweat**hot and dry*,"(1) Totally empty;(2) Can be referring to the weather, or thirst, or drying laundry;(6) SFX for exposure to extreme heat, such as being in a bone dry desert"
カラコロ,からころ,kara koro,*clattering*,
カラン,からん,karan,(1) *rattle* *open*;(2) *clang*;(3) *clunk*,
カランカラン,からんからん,karan karan,*clang clang**ring-a-ding*,"SFX for a mechanical, hand bell sound.  Or like カラカラ."
カラッポ,からっぽ,karappo,*out of money*,
カラリ,からり,karari,(1) *straightforward* *cheerful*;(2) *pleasantly dry*;(3) *open* *clear* *unobstructed*;(4) *nice dry weather* *clearing up*,(1) Describing a character's personality;(2) Being pleasantly dry;(4) Weather clearing up.
カラット,からっと,karatto,*crisp*,
カリカリ,かりかり,kari kari,(1) *scratch*;(2) *crisp*;(3) *scribble scribble*,(3) writing something down with a pencil on paper
カサッ,かさっ,kasa,(1) *rustle*;(2) *crumble off*;(3) *step* *tmp*,(2) Fall off by crumbling;(3) To take a step.
カサ,かさ,kasa,(1) *rustle*;(2) *tmp* *step*,
カサカサ,かさかさ,kasa kasa,(1) *rustle rustle*;(2) *burn burn**throb throb*,"(1) SFX for going through forestry or bushes;(2) SFX for a burning sensation, such as when one has dry skin or suffers from sunburn or over-exposure to something hot."
カサコソ,かさこそ,kasa koso,*rumbling*,
カセ,かせ,kase,*rustle*,"Commonly used for a quiet footstep in the grass, also can be paper, cloth, or other material rustling."
カシャ,かしゃ,kasha,(1) *click* *flash*;(2) *tap*,(1) Usually for the sounds when taking photos;(2) SFX for sound of keys when typing.
カシャン,かしゃん,kashan,(1) *bang* *slam* *bam*;(2) *rattle*,
カシ,かし,kashi,(1) *click* *clack*;(2) *rattle* *shake*,
カシン,かしん,kashin,*click*,SFX for a metallic clinking sound.
カシヤ,かしや,kashiya,(1) *snap*;(2) *click*,(2) Like sound of camera shutter closing when picture is taken.
カスカス,かすかす,kasu kasu,(1) *dry*;(2) *barely*;(3) *barely in time*;(4) *tasteless*,"(1) Lacking moisture;(2) Quantity, barely;(4) Dry texture."
カタ,かた,kata,(1) *step*;(2) *rattle* *chk*;(3) *rattle* *slide*,"(1) To take a step, footstep;(2) SFX for something metallic, clinking;(3) SFX for sliding a door open"
カタカタ,かたかた,kata kata,(1) *tremble*;(2) *clatter clatter**rattle rattle*;(3) *click click*,"(1) SFX from being scared;(3) SFX for the tapping of something mechanical, such as typing."
カタコト,かたこと,kata koto,*clattering*,
カタン,かたん,katan,(1) *press* *touch*;(2) *tmp*,(1) To lightly touch something;(2) SFX for light clattering.
カタンカタン,かたんかたん,katan katan,*kachunk kachunk*,Sound that trains make on tracks.
カツガツ,かつがつ,katsu gatsu,*barely in time**barely makes it*,
カツーン,かつーん,katsu-n,*clatter* *clang*,
カツン,かつん,katsun,*clonk* *step*,SFX for heavy footsteps or something thumping against a surface.
カツンカツン,かつんかつん,katsun katsun,*clonk clonk*,
カヤク,かやく,kayaku,(1) *sprinkle*;(2) *dust* *powder*,
ギッ,ぎっ,gi,(1) *gasp*;(2) *grit* *clench*,"(2) SFX for the grinding or clenching of teeth, as if in a pained or sardonic, sarcastic grin."
ギ,ぎ,gi,(1) *rustle*;(2) *grab*,"(1) SFX for movement, shifting clothing"
ギギ,ぎぎ,gi gi,(1) *tightening*;(2) *pulling*;(3) *creaking*,
ギーコ,ぎーこ,gi-ko,*saw saw*,The sound of sawing wood.
ギエー,ぎえー,gie-,nyooo! aghhhh!!!,A scream used usually when something scares you to death.
ギッグーん,ぎっぐーん,giggu-n,*jolt* *shock* *surprise*,"SFX for being caught off-guard, jumping slightly in shock or surprise."
ギギィー,ぎぎぃー,gigii-,*crrrreeeak*,"Ex: an old door opening, ship creaking."
ギィッ,ぎぃっ,gii,*creak*,Ex: an old door opening.
ギィー,ぎぃー,gii-,(1) *creak*;(2) *grr* *gaaahh*,"(1) Ex: an old door opening;(2) SFX for an angry grunt, like when one clenches their teeth and growls or complains"
ギコ,ぎこ,giko,*saw saw*,The sound of sawing wood.
ギクッ,ぎくっ,giku,(1) *gulp* *guilt shock*;(2) *surprise*;(3) *alarm*;(4) *urk* *erk* *geh*,(1) SFX for when someone brings to light your hidden agenda/intention that you didn't want people to know;(2) See also *biku* and *piku*.
ギク,ぎく,giku,*shock* *surprise*,
ギクリ,ぎくり,gikuri,*surprise*,See also *biku* and *piku*.
ギクウ,ぎくう,gikuu,*shock* *surprise*,SFX for getting caught unawares or by surprise.
ギン,ぎん,gin,*stare* *glare*,Stare at.  See also *giro*.
ギンギン,ぎんぎん,gin gin,(1) *red eyes*;(2) *stare*,(1) SFX which usually explains a state when your eyes are red.
ギヌロ,ぎぬろ,ginuro,*glare*,
ギラ,ぎら,gira,(1) *glint* *shine brightly*;(2) *shing*;(3) *twinkle*,"(1) Like the deadly shine of a blade, or an evil grin;(2) Like the deadly shine of a blade, or an evil grin.See also *kira* and *kiran*."
ギラッ,ぎらっ,gira,(1) *glare*;(2) *glitter*,"(1) SFX for a momentary glare, stronger than *girari*;(2) SFX for a momentary glitter"
ギラギラ,ぎらぎら,gira gira,*sparkle*,In a gothic sense; slightly heavier than the *kira kira*
ギラリ,ぎらり,girari,(1) *glare*;(2) *glitter*;(3) *glint*,(1) SFX for a momentary angry look;(2) SFX for a state of being shiny or twinkling;(3) SFX for an evil grin
ギラリギラリ,ぎらりぎらり,girari girari,(1) *glare* *slow gleam*,(1) SFX for a momentary angry look
ギリ,ぎり,giri,(1) *twist*;(2) *sliding*;(3) *grind* *ngh*,"(1) SFX for twisting someone's arm backwards;(3) SFX for grinding one's teeth, or biting something very hard"
ギリギリ,ぎりぎり,giri giri,(1) *giri giri*;(2) *tie up*;(3) *just barely**last moment**last minute*;(4) *grind grind**gnash*;(5) *scratching*;(6) *tightening*;(7) *crunch*,"(1) SFX for when something is brought to extremes;(2) Commonly used when someone is being tied up;(3) Where one barely makes a situation;(4) SFX for a rough, scratchy sound, or to grind one's teeth, barely audible grinding sound;(5) More vigorous than *kiri*; See also *bari bari*."
ギロ,ぎろ,giro,*stare* *glare* *stares down*,A momentary glare intended to intimidate an opponent.  See also *gin*.
ギロッ,ぎろっ,giro,*glare**flash*,"SFX for a sudden, angry glare."
ギロン,ぎろん,giron,*angry noise*,
ギシ,ぎし,gishi,(1) *creak*;(2) *rustle*,(1) SFX for bed movement.
ギシギシ,ぎしぎし,gishi gishi,*creak creak*,
ギスギス,ぎすぎす,gisu gisu,(1) *awkwardness* *strained*(2) *thin and bony*,"(1) An awkward, uneasy atmosphere or situation to be in because of the bad relationship between certain people;(3) Also used to describe sharpness, objects as well as personality; someone who doesn't easily trust people.  Ex: Naoya in Love mode before meeting Reiji."
ギトギト,ぎとぎと,gito gito,*oily*,
ギャ,ぎゃ,gya,(1) ack!!!;(2) *grab*(3) *shriek*,(2) See also *gaba* and *gyu*.(3) See also *kya*.
ギャーッ,ぎゃーっ,gya-,*aaggghh* *agh* *ohmygod*,
ギャー,ぎゃー,gya-,*aggghh!* *agghh* *ahhh!*,"SFX for voicing distress, screaming or screeching."
ギャーギャー,ぎゃーぎゃー,gya- gya-,*chatter chatter**fighting**yap yap yap**making a racket*,"Chattering loudly, like a heated debate."
ギャアギャア,ぎゃあぎゃあ,gyaa gyaa,(1) *racket*;(2) *whine* *grumble*,"(2) See also *boso*, *busu*, and *guzu*."
ギャァー,ぎゃぁー,gyaa-,agghhh!!!,Used when you are very shocked and usually very scared.  Or when people get killed.
ギャアス,ぎゃあす,gyaasu,*rooaarr*,SFX for arguing and screaming.
ギャギュルル,ぎゃぎゅるる,gyagyururu,*screech* *squeal* *shriek*,SFX for the screaming of tires and traction.
ギャキュルル,ぎゃキゅるる,gyakyururu,*screech* *squeal* *shriek*,SFX for the screaming of tires and traction.
ギョッ,ぎょっ,gyo,(1) *flashback**think**remembers*;(2) *shock**surprise**startled*;(3) *glare*;(4) *gah* *gah!*,"(3) A flash-glare, or sudden glare;(4) SFX for a sound of surprise"
ギョ,ぎょ,gyo,(1) *shock* *eh?!* *disbelief*;(2) *grab* *squeeze* *twist*;(3) *startled* *scared*,(2) See also *gaba* and *gya*;(3) SFX to show worry and shock
ギョギョッ,ぎょぎょっ,gyo gyo,*shock* *surprise**yelp*,SFX for a reaction of surprise and/or fear.
ギュッ,ぎゅっ,gyu,(1) *squeeze* *hugs*;(2) *clench*;(3) *grab*;(4) *severely* *critically*,"(1) Embrace;(2) Like clenching one's fist;(3) To grab someone's fingers;(4) SFX for criticizing someone or something severely, or a sound made by someone being criticized"
ギュ,ぎゅ,gyu,*squeeze*,
ギュム,ぎゅむ,gyumu,*squeeze*,See also *gyu*.
ギュンギュン,ぎゅんぎゅん,gyun gyun,*round-and-around*,"Fast motion, usually circular."
